Date,Close,Open,High,Low,Volume,Market Cap
01-05-2021,4284798.56,4276397.18,4330759.12,4227317.01,3.17E+12,8.01E+13
02-05-2021,4196083.02,4284636.45,4290321.75,4159862.86,2.83E+12,7.85E+13
03-05-2021,4223535.08,4195282.44,4365466.31,4193108.94,3.83E+12,7.92E+13
04-05-2021,3934903.03,4224560.51,4224560.51,3924418.07,5.06E+12,7.36E+13
05-05-2021,4237813.89,3928899.4,4271333.76,3908011.83,5.11E+12,7.92E+13
06-05-2021,4151654.77,4239090.69,4302187.13,4076498.26,5.13E+12,7.78E+13
07-05-2021,4203679.37,4152938.58,4294404.03,4072323.9,5.04E+12,7.90E+13
08-05-2021,4310081.55,4203412.89,4358518.24,4175741.68,4.79E+12,8.06E+13
09-05-2021,4267878.3,4315477.08,4339920.79,4139904.93,4.83E+12,7.98E+13
10-05-2021,4105709.2,4269238.31,4365942.91,3972143.24,5.26E+12,7.66E+13
11-05-2021,4160717.89,4104786.29,4172762.56,4012452.93,4.51E+12,7.80E+13
12-05-2021,3621502.07,4161448.72,4256196.59,3621502.07,5.52E+12,6.75E+13
13-05-2021,3651423.09,3664598.45,3777385.45,3461574.51,7.13E+12,6.85E+13
14-05-2021,3655200.6,3648983.99,3768570.18,3585600.82,4.09E+12,6.85E+13
15-05-2021,3426544.39,3653365.78,3710829.1,3419506.32,4.34E+12,6.41E+13
16-05-2021,3404260.66,3423353.19,3643440.12,3221594.73,4.69E+12,6.37E+13
17-05-2021,3189991.28,3401317.83,3416539.75,3095333.14,5.49E+12,5.97E+13
18-05-2021,3137897.81,3186367.83,3345688.42,3098751.42,4.12E+12,5.88E+13
19-05-2021,2709442.72,3140499.32,3184372.6,2246730.94,9.24E+12,5.06E+13
20-05-2021,2978043.23,2691226.89,3103174.18,2566530.38,6.46E+12,5.59E+13
21-05-2021,2720086.44,2964476.45,3079511.48,2451190.8,5.99E+12,5.10E+13
22-05-2021,2736998.47,2724923.59,2831381.87,2580015.45,4.18E+12,5.12E+13
23-05-2021,2535125.03,2736620.58,2791873.65,2276953.95,5.72E+12,4.74E+13
24-05-2021,2819221.48,2530005.28,2904816.24,2517616.55,4.91E+12,5.28E+13
25-05-2021,2795879.9,2825762.35,2897192.14,2664475.98,4.09E+12,5.24E+13
26-05-2021,2855617.46,2795180.95,2964039.16,2759740.22,3.74E+12,5.36E+13
27-05-2021,2793746.82,2857266.57,2931485.62,2710548.91,3.14E+12,5.23E+13
28-05-2021,2584281.81,2798843.01,2824332.31,2517783.35,4.01E+12,4.86E+13
29-05-2021,2505985.24,2583308.15,2695543.11,2439228.22,3.27E+12,4.69E+13
30-05-2021,2582873.78,2505358.17,2635179.1,2426690.25,2.29E+12,4.84E+13
31-05-2021,2706163.51,2581459.48,2715977.98,2479116.68,2.82E+12,5.06E+13
01-06-2021,2672689.53,2703332.06,2747045.2,2608204.48,2.51E+12,4.98E+13
02-06-2021,2741539.89,2673782.24,2788041.47,2620345.13,2.41E+12,5.13E+13
03-06-2021,2863975.06,2743307.77,2877492.45,2719461.85,2.59E+12,5.36E+13
04-06-2021,2689965.56,2866438.13,2866438.13,2608974.38,3.06E+12,5.05E+13
05-06-2021,2592087.98,2688926.64,2764574.85,2544583.82,2.62E+12,4.85E+13
06-06-2021,2614724.1,2591114.63,2656573.99,2577544.28,2.11E+12,4.90E+13
07-06-2021,2443543.22,2612747.34,2682347.01,2437713.6,2.46E+12,4.58E+13
08-06-2021,2442683.68,2445641.09,2476793.94,2269226.35,3.63E+12,4.56E+13
09-06-2021,2725653.97,2438622.3,2739685.42,2368351.24,3.94E+12,5.10E+13
10-06-2021,2679750.41,2728894.1,2801016.09,2617132.33,3.18E+12,5.02E+13
11-06-2021,2734065.28,2679343.87,2748341.84,2631713.42,2.83E+12,5.11E+13
12-06-2021,2603574.83,2734485.87,2739522.96,2543207.87,2.78E+12,4.88E+13
13-06-2021,2863208.76,2603814.51,2879755.21,2553161.53,2.98E+12,5.36E+13
14-06-2021,2943230.4,2857284.99,2999575.96,2838893.55,3.16E+12,5.52E+13
15-06-2021,2963664.79,2958502.7,3029429.16,2903789.56,3.40E+12,5.54E+13
16-06-2021,2830947.13,2946239.19,2972878.1,2818321.02,2.88E+12,5.27E+13
17-06-2021,2825630.15,2830530.81,2926422.28,2779027.69,2.74E+12,5.26E+13
18-06-2021,2653413.06,2829043.83,2835562.09,2612640.77,2.69E+12,4.98E+13
19-06-2021,2640706.57,2658401.8,2703130.49,2590080.46,2.31E+12,4.95E+13
